id,book,chapter,verse,language,sentence_length,number_words,clause_length
15346,1QS,3,1,Hebrew,1,2,2.0
15347,1QS,3,1,Hebrew,1,2,2.0
15348,1QS,3,1,Hebrew,1,35,35.0
15349,1QS,3,2,Hebrew,1,8,8.0
15351,1QS,3,3,Hebrew,2,9,4.5
15353,1QS,3,4,Hebrew,2,14,7.0
15355,1QS,3,4,Hebrew,2,4,2.0
15356,1QS,3,5,Hebrew,1,5,5.0
15357,1QS,3,5,Hebrew,1,8,8.0
15358,1QS,3,6,Hebrew,1,7,7.0
15360,1QS,3,6,Hebrew,2,14,7.0
15361,1QS,3,7,Hebrew,1,7,7.0
15362,1QS,3,8,Hebrew,1,6,6.0
15363,1QS,3,8,Hebrew,1,7,7.0
15364,1QS,3,9,Hebrew,1,8,8.0
15365,1QS,3,9,Hebrew,1,4,4.0
15366,1QS,3,10,Hebrew,1,9,9.0
15367,1QS,3,10,Hebrew,1,5,5.0
15368,1QS,3,11,Hebrew,1,8,8.0
15369,1QS,3,11,Hebrew,1,24,24.0
15372,1QS,3,13,Hebrew,3,21,7.0
15373,1QS,3,14,Hebrew,1,12,12.0
15374,1QS,3,15,Hebrew,1,7,7.0
15377,1QS,3,15,Hebrew,3,18,6.0
15378,1QS,3,16,Hebrew,1,7,7.0
15379,1QS,3,16,Hebrew,1,8,8.0
15380,1QS,3,17,Hebrew,1,4,4.0
15381,1QS,3,17,Hebrew,1,7,7.0
15382,1QS,3,18,Hebrew,1,6,6.0
15383,1QS,3,18,Hebrew,1,5,5.0
15384,1QS,3,18,Hebrew,1,10,10.0
15385,1QS,3,18,Hebrew,1,8,8.0
15386,1QS,3,19,Hebrew,1,24,24.0
15387,1QS,3,19,Hebrew,1,6,6.0
15388,1QS,3,19,Hebrew,1,31,31.0
15389,1QS,3,19,Hebrew,1,6,6.0
15390,1QS,3,19,Hebrew,1,6,6.0
15391,1QS,3,20,Hebrew,1,7,7.0
15394,1QS,3,20,Hebrew,3,14,4.666666666666667
15395,1QS,3,20,Hebrew,1,13,13.0
15396,1QS,3,20,Hebrew,1,9,9.0
15402,1QS,3,21,Hebrew,6,58,9.666666666666666
15403,1QS,3,21,Hebrew,1,9,9.0
15407,1QS,3,22,Hebrew,4,34,8.5
15409,1QS,3,23,Hebrew,2,26,13.0
15410,1QS,3,24,Hebrew,1,6,6.0
15411,1QS,3,24,Hebrew,1,11,11.0
15412,1QS,3,25,Hebrew,1,5,5.0
15413,1QS,3,25,Hebrew,1,20,20.0
15414,1QS,3,26,Hebrew,1,10,10.0
15415,1QS,3,26,Hebrew,1,7,7.0
15416,1QS,3,27,Hebrew,1,4,4.0
15417,1QS,3,27,Hebrew,1,6,6.0
15418,1QS,3,28,Hebrew,1,7,7.0
15419,1QS,3,28,Hebrew,1,4,4.0
15421,1QS,3,29,Hebrew,2,16,8.0
15422,1QS,3,29,Hebrew,1,8,8.0
15423,1QS,3,30,Hebrew,1,7,7.0
15424,1QS,3,30,Hebrew,1,12,12.0
15425,1QS,3,31,Hebrew,1,10,10.0
15426,1QS,3,31,Hebrew,1,7,7.0
15427,1QS,3,31,Hebrew,1,9,9.0
15428,1QS,3,31,Hebrew,1,11,11.0
15432,1QS,3,32,Hebrew,3,27,9.0
15430,1QS,3,32,Hebrew,1,5,5.0
15434,1QS,3,33,Hebrew,2,14,7.0
15435,1QS,3,34,Hebrew,1,3,3.0
15436,1QS,3,34,Hebrew,1,6,6.0
15437,1QS,3,35,Hebrew,1,10,10.0
15439,1QS,3,36,Hebrew,2,14,7.0
15440,1QS,3,36,Hebrew,1,4,4.0
15441,1QS,3,36,Hebrew,1,10,10.0
15442,1QS,3,36,Hebrew,1,4,4.0
15443,1QS,3,37,Hebrew,1,10,10.0
15444,1QS,3,37,Hebrew,1,3,3.0
15445,1QS,3,38,Hebrew,1,9,9.0
15448,1QS,3,39,Hebrew,3,26,8.666666666666666
15453,1QS,4,1,Hebrew,5,25,5.0
15455,1QS,4,1,Hebrew,2,18,9.0
15459,1QS,4,1,Hebrew,4,23,5.75
15462,1QS,4,2,Hebrew,3,40,13.333333333333334
15464,1QS,4,2,Hebrew,2,20,10.0
15466,1QS,4,3,Hebrew,2,22,11.0
15470,1QS,4,3,Hebrew,4,30,7.5
15472,1QS,4,3,Hebrew,2,5,2.5
15474,1QS,4,4,Hebrew,2,17,8.5
15476,1QS,4,5,Hebrew,2,16,8.0
15484,1QS,4,6,Hebrew,8,54,6.75
15485,1QS,4,6,Hebrew,1,6,6.0
15488,1QS,4,7,Hebrew,3,22,7.333333333333333
15489,1QS,4,8,Hebrew,1,6,6.0
15493,1QS,4,8,Hebrew,3,13,4.333333333333333
15491,1QS,4,8,Hebrew,1,7,7.0
15498,1QS,4,9,Hebrew,5,32,6.4
15500,1QS,4,10,Hebrew,2,12,6.0
15501,1QS,4,11,Hebrew,1,3,3.0
15502,1QS,4,11,Hebrew,1,6,6.0
15504,1QS,4,11,Hebrew,2,7,3.5
15505,1QS,4,12,Hebrew,1,13,13.0
15506,1QS,4,12,Hebrew,1,5,5.0
15507,1QS,4,13,Hebrew,1,7,7.0
15508,1QS,4,13,Hebrew,1,3,3.0
15509,1QS,4,13,Hebrew,1,5,5.0
15510,1QS,4,13,Hebrew,1,17,17.0
15511,1QS,4,14,Hebrew,1,8,8.0
15512,1QS,4,14,Hebrew,1,3,3.0
15514,1QS,4,14,Hebrew,2,12,6.0
15515,1QS,4,14,Hebrew,1,3,3.0
15517,1QS,4,14,Hebrew,2,11,5.5
15518,1QS,4,14,Hebrew,1,5,5.0
15522,1QS,4,15,Hebrew,4,18,4.5
15523,1QS,4,16,Hebrew,1,10,10.0
15525,1QS,4,16,Hebrew,2,9,4.5
15527,1QS,4,17,Hebrew,2,8,4.0
15528,1QS,4,17,Hebrew,1,9,9.0
15529,1QS,4,17,Hebrew,1,6,6.0
15532,1QS,4,18,Hebrew,3,19,6.333333333333333
15541,1QS,4,18,Hebrew,9,63,7.0
15550,1QS,4,21,Hebrew,6,46,7.666666666666667
15549,1QS,4,20,Hebrew,3,31,10.333333333333334
15551,1QS,4,22,Hebrew,1,18,18.0
15552,1QS,4,23,Hebrew,1,8,8.0
15553,1QS,4,24,Hebrew,1,5,5.0
15554,1QS,4,24,Hebrew,1,6,6.0
15556,1QS,4,25,Hebrew,2,20,10.0
15558,1QS,4,26,Hebrew,2,14,7.0
15559,1QS,4,27,Hebrew,1,12,12.0
15560,1QS,4,28,Hebrew,1,3,3.0
15561,1QS,4,28,Hebrew,1,3,3.0
15562,1QS,4,28,Hebrew,1,3,3.0
15564,1QS,4,29,Hebrew,2,20,10.0
15565,1QS,4,30,Hebrew,1,9,9.0
15566,1QS,4,30,Hebrew,1,9,9.0
15567,1QS,4,31,Hebrew,1,2,2.0
15571,1QS,4,31,Hebrew,4,11,2.75
15575,1QS,4,31,Hebrew,4,19,4.75
15577,1QS,4,31,Hebrew,2,17,8.5
15582,1QS,4,32,Hebrew,5,25,5.0
15586,1QS,4,33,Hebrew,4,26,6.5
15588,1QS,4,35,Hebrew,2,12,6.0
15592,1QS,4,35,Hebrew,3,16,5.333333333333333
15591,1QS,4,35,Hebrew,1,6,6.0
15595,1QS,4,36,Hebrew,3,27,9.0
15596,1QS,4,37,Hebrew,1,8,8.0
15598,1QS,4,37,Hebrew,2,6,3.0
15600,1QS,4,38,Hebrew,2,13,6.5
15601,1QS,4,39,Hebrew,1,8,8.0
15603,1QS,4,40,Hebrew,2,16,8.0
15605,1QS,4,40,Hebrew,2,9,4.5
15611,1QS,4,41,Hebrew,6,32,5.333333333333333
15612,1QS,4,41,Hebrew,1,2,2.0
15614,1QS,4,41,Hebrew,2,9,4.5
15615,1QS,4,42,Hebrew,1,4,4.0
15616,1QS,4,42,Hebrew,1,1,1.0
15620,1QS,4,42,Hebrew,4,29,7.25
15621,1QS,4,43,Hebrew,1,4,4.0
15624,1QS,4,43,Hebrew,3,15,5.0
