id,book,chapter,verse,language,number_phrases,number_words,ratio
426709,Genesis,1,31,hbo,3,3,1.0
426710,Genesis,1,31,hbo,1,3,3.0
426711,Genesis,2,1,hbo,3,10,3.3333333333333335
426712,Genesis,2,2,hbo,5,9,1.8
426713,Genesis,2,2,hbo,2,2,1.0
426714,Genesis,2,2,hbo,4,10,2.5
426715,Genesis,2,2,hbo,2,2,1.0
426716,Genesis,2,3,hbo,4,7,1.75
426717,Genesis,2,3,hbo,3,3,1.0
426718,Genesis,2,3,hbo,4,6,1.5
426719,Genesis,2,3,hbo,3,3,1.0
426720,Genesis,2,3,hbo,1,2,2.0
426721,Genesis,2,4,hbo,2,7,3.5
426722,Genesis,2,4,hbo,1,2,2.0
426723,Genesis,2,4,hbo,1,2,2.0
426724,Genesis,2,4,hbo,3,6,2.0
426725,Genesis,2,5,hbo,5,10,2.0
426726,Genesis,2,5,hbo,4,7,1.75
426727,Genesis,2,5,hbo,5,8,1.6
426728,Genesis,2,5,hbo,3,3,1.0
426729,Genesis,2,5,hbo,2,5,2.5
426730,Genesis,2,6,hbo,4,6,1.5
426731,Genesis,2,6,hbo,3,7,2.3333333333333335
426732,Genesis,2,7,hbo,5,11,2.2
426733,Genesis,2,7,hbo,4,6,1.5
426734,Genesis,2,7,hbo,4,7,1.75
426735,Genesis,2,8,hbo,6,9,1.5
426736,Genesis,2,8,hbo,4,6,1.5
426737,Genesis,2,8,hbo,2,2,1.0
426738,Genesis,2,9,hbo,5,9,1.8
426739,Genesis,2,9,hbo,2,3,1.5
426740,Genesis,2,9,hbo,3,4,1.3333333333333333
426741,Genesis,2,9,hbo,3,8,2.6666666666666665
426742,Genesis,2,9,hbo,2,7,3.5
426743,Genesis,2,10,hbo,4,5,1.25
426744,Genesis,2,10,hbo,2,5,2.5
426745,Genesis,2,10,hbo,3,4,1.3333333333333333
426746,Genesis,2,10,hbo,3,5,1.6666666666666667
426747,Genesis,2,11,hbo,2,4,2.0
426748,Genesis,2,11,hbo,1,1,1.0
426749,Genesis,2,11,hbo,3,7,2.3333333333333335
426750,Genesis,2,11,hbo,3,4,1.3333333333333333
426751,Genesis,2,12,hbo,3,7,2.3333333333333335
426752,Genesis,2,12,hbo,2,7,3.5
426753,Genesis,2,13,hbo,3,7,2.3333333333333335
426754,Genesis,2,13,hbo,1,1,1.0
426755,Genesis,2,13,hbo,3,6,2.0
426756,Genesis,2,14,hbo,3,7,2.3333333333333335
426757,Genesis,2,14,hbo,1,1,1.0
426758,Genesis,2,14,hbo,3,4,1.3333333333333333
426759,Genesis,2,14,hbo,2,5,2.5
426760,Genesis,2,14,hbo,2,2,1.0
426761,Genesis,2,15,hbo,4,7,1.75
426762,Genesis,2,15,hbo,3,5,1.6666666666666667
426763,Genesis,2,15,hbo,1,2,2.0
426764,Genesis,2,15,hbo,2,3,1.5
426765,Genesis,2,16,hbo,4,7,1.75
426766,Genesis,2,16,hbo,1,2,2.0
426767,Genesis,2,16,hbo,3,7,2.3333333333333335
426768,Genesis,2,17,hbo,2,8,4.0
426769,Genesis,2,17,hbo,3,3,1.0
426770,Genesis,2,17,hbo,4,5,1.25
426771,Genesis,2,17,hbo,2,2,1.0
426772,Genesis,2,18,hbo,3,4,1.3333333333333333
426773,Genesis,2,18,hbo,2,2,1.0
426774,Genesis,2,18,hbo,3,5,1.6666666666666667
426775,Genesis,2,18,hbo,3,5,1.6666666666666667
426776,Genesis,2,19,hbo,5,17,3.4
426777,Genesis,2,19,hbo,3,5,1.6666666666666667
426778,Genesis,2,19,hbo,1,2,2.0
426779,Genesis,2,19,hbo,3,3,1.0
426780,Genesis,2,19,hbo,2,2,1.0
426781,Genesis,2,19,hbo,5,7,1.4
426782,Genesis,2,19,hbo,2,2,1.0
426783,Genesis,2,20,hbo,5,20,4.0
426784,Genesis,2,20,hbo,5,8,1.6
426785,Genesis,2,21,hbo,5,8,1.6
426786,Genesis,2,21,hbo,2,2,1.0
426787,Genesis,2,21,hbo,3,5,1.6666666666666667
426788,Genesis,2,21,hbo,4,4,1.0
426789,Genesis,2,22,hbo,5,9,1.8
426790,Genesis,2,22,hbo,3,5,1.6666666666666667
426791,Genesis,2,22,hbo,3,5,1.6666666666666667
426792,Genesis,2,23,hbo,3,4,1.3333333333333333
426793,Genesis,2,23,hbo,3,10,3.3333333333333335
426794,Genesis,2,23,hbo,3,4,1.3333333333333333
426795,Genesis,2,23,hbo,4,5,1.25
426796,Genesis,2,24,hbo,4,9,2.25
426797,Genesis,2,24,hbo,3,4,1.3333333333333333
426798,Genesis,2,24,hbo,3,5,1.6666666666666667
426799,Genesis,2,25,hbo,4,8,2.0
426800,Genesis,2,25,hbo,3,3,1.0
426801,Genesis,3,1,hbo,5,10,2.0
426802,Genesis,3,1,hbo,3,4,1.3333333333333333
426803,Genesis,3,1,hbo,3,5,1.6666666666666667
426804,Genesis,3,1,hbo,4,4,1.0
426805,Genesis,3,1,hbo,3,7,2.3333333333333335
426806,Genesis,3,2,hbo,4,7,1.75
426807,Genesis,3,2,hbo,2,6,3.0
426808,Genesis,3,3,hbo,2,5,2.5
426809,Genesis,3,3,hbo,2,5,2.5
426810,Genesis,3,3,hbo,2,2,1.0
426811,Genesis,3,3,hbo,3,3,1.0
426812,Genesis,3,3,hbo,4,4,1.0
426813,Genesis,3,3,hbo,2,2,1.0
426814,Genesis,3,4,hbo,4,7,1.75
426815,Genesis,3,4,hbo,3,3,1.0
426816,Genesis,3,5,hbo,3,3,1.0
426817,Genesis,3,5,hbo,2,3,1.5
426818,Genesis,3,5,hbo,2,2,1.0
426819,Genesis,3,5,hbo,3,3,1.0
426820,Genesis,3,5,hbo,3,4,1.3333333333333333
426821,Genesis,3,5,hbo,1,4,4.0
426822,Genesis,3,6,hbo,3,4,1.3333333333333333
426823,Genesis,3,6,hbo,4,6,1.5
426824,Genesis,3,6,hbo,5,7,1.4
426825,Genesis,3,6,hbo,3,4,1.3333333333333333
426826,Genesis,3,6,hbo,1,2,2.0
426827,Genesis,3,6,hbo,3,4,1.3333333333333333
426828,Genesis,3,6,hbo,2,2,1.0
426829,Genesis,3,6,hbo,4,6,1.5
426830,Genesis,3,6,hbo,2,2,1.0
426831,Genesis,3,7,hbo,3,4,1.3333333333333333
426832,Genesis,3,7,hbo,2,2,1.0
426833,Genesis,3,7,hbo,3,3,1.0
426834,Genesis,3,7,hbo,3,4,1.3333333333333333
426835,Genesis,3,7,hbo,4,4,1.0
426836,Genesis,3,8,hbo,3,6,2.0
426837,Genesis,3,8,hbo,3,8,2.6666666666666665
426838,Genesis,3,8,hbo,5,15,3.0
426839,Genesis,3,9,hbo,4,7,1.75
426840,Genesis,3,9,hbo,3,3,1.0
426841,Genesis,3,9,hbo,1,1,1.0
426842,Genesis,3,10,hbo,2,2,1.0
426843,Genesis,3,10,hbo,3,6,2.0
426844,Genesis,3,10,hbo,2,2,1.0
426845,Genesis,3,10,hbo,3,3,1.0
426846,Genesis,3,10,hbo,2,2,1.0
426847,Genesis,3,11,hbo,2,2,1.0
426848,Genesis,3,11,hbo,3,3,1.0
426849,Genesis,3,11,hbo,3,3,1.0
426850,Genesis,3,11,hbo,3,5,1.6666666666666667
426851,Genesis,3,11,hbo,2,2,1.0
426852,Genesis,3,11,hbo,2,4,2.0
426853,Genesis,3,12,hbo,3,4,1.3333333333333333
426854,Genesis,3,12,hbo,1,2,2.0
426855,Genesis,3,12,hbo,3,3,1.0
426856,Genesis,3,12,hbo,4,6,1.5
426857,Genesis,3,12,hbo,2,2,1.0
426858,Genesis,3,13,hbo,4,7,1.75
426859,Genesis,3,13,hbo,2,3,1.5
426860,Genesis,3,13,hbo,3,4,1.3333333333333333
426861,Genesis,3,13,hbo,2,3,1.5
426862,Genesis,3,13,hbo,2,2,1.0
426863,Genesis,3,14,hbo,4,7,1.75
426864,Genesis,3,14,hbo,3,3,1.0
426865,Genesis,3,14,hbo,3,12,4.0
426866,Genesis,3,14,hbo,2,3,1.5
426867,Genesis,3,14,hbo,4,6,1.5
426868,Genesis,3,15,hbo,4,14,3.5
426869,Genesis,3,15,hbo,3,3,1.0
426870,Genesis,3,15,hbo,4,4,1.0
426871,Genesis,3,16,hbo,2,4,2.0
426872,Genesis,3,16,hbo,3,5,1.6666666666666667
426873,Genesis,3,16,hbo,3,4,1.3333333333333333
426874,Genesis,3,16,hbo,3,4,1.3333333333333333
426875,Genesis,3,16,hbo,4,4,1.0
426876,Genesis,3,17,hbo,3,4,1.3333333333333333
426877,Genesis,3,17,hbo,3,5,1.6666666666666667
426878,Genesis,3,17,hbo,3,5,1.6666666666666667
426879,Genesis,3,17,hbo,2,2,1.0
426880,Genesis,3,17,hbo,1,2,2.0
426881,Genesis,3,17,hbo,3,3,1.0
426882,Genesis,3,17,hbo,3,5,1.6666666666666667
426883,Genesis,3,17,hbo,3,6,2.0
426884,Genesis,3,18,hbo,4,6,1.5
426885,Genesis,3,18,hbo,3,6,2.0
426886,Genesis,3,19,hbo,3,5,1.6666666666666667
426887,Genesis,3,19,hbo,2,5,2.5
426888,Genesis,3,19,hbo,3,3,1.0
426889,Genesis,3,19,hbo,3,3,1.0
426890,Genesis,3,19,hbo,3,4,1.3333333333333333
426891,Genesis,3,20,hbo,5,7,1.4
426892,Genesis,3,20,hbo,4,6,1.5
426893,Genesis,3,21,hbo,5,11,2.2
426894,Genesis,3,21,hbo,2,2,1.0
426895,Genesis,3,22,hbo,3,4,1.3333333333333333
426896,Genesis,3,22,hbo,4,7,1.75
426897,Genesis,3,22,hbo,2,5,2.5
426898,Genesis,3,22,hbo,2,2,1.0
426899,Genesis,3,22,hbo,3,3,1.0
426900,Genesis,3,22,hbo,3,7,2.3333333333333335
426901,Genesis,3,22,hbo,2,2,1.0
426902,Genesis,3,22,hbo,3,4,1.3333333333333333
426903,Genesis,3,23,hbo,4,7,1.75
426904,Genesis,3,23,hbo,2,5,2.5
426905,Genesis,3,23,hbo,3,4,1.3333333333333333
426906,Genesis,3,24,hbo,3,5,1.6666666666666667
426907,Genesis,3,24,hbo,4,15,3.75
426908,Genesis,3,24,hbo,2,2,1.0
426909,Genesis,3,24,hbo,2,7,3.5
426910,Genesis,4,1,hbo,4,7,1.75
426911,Genesis,4,1,hbo,2,2,1.0
426912,Genesis,4,1,hbo,3,4,1.3333333333333333
426913,Genesis,4,1,hbo,2,2,1.0
426914,Genesis,4,1,hbo,3,4,1.3333333333333333
426915,Genesis,4,2,hbo,2,2,1.0
426916,Genesis,4,2,hbo,2,6,3.0
426917,Genesis,4,2,hbo,4,5,1.25
426918,Genesis,4,2,hbo,4,5,1.25
426919,Genesis,4,3,hbo,3,5,1.6666666666666667
426920,Genesis,4,3,hbo,6,10,1.6666666666666667
426921,Genesis,4,4,hbo,4,11,2.75
426922,Genesis,4,4,hbo,4,8,2.0
426923,Genesis,4,5,hbo,4,8,2.0
426924,Genesis,4,5,hbo,4,5,1.25
426925,Genesis,4,5,hbo,3,3,1.0
426926,Genesis,4,6,hbo,4,5,1.25
426927,Genesis,4,6,hbo,3,3,1.0
426928,Genesis,4,6,hbo,4,4,1.0
426929,Genesis,4,7,hbo,3,3,1.0
426930,Genesis,4,7,hbo,2,2,1.0
426931,Genesis,4,7,hbo,4,4,1.0
426932,Genesis,4,7,hbo,3,5,1.6666666666666667
426933,Genesis,4,7,hbo,3,3,1.0
426934,Genesis,4,7,hbo,4,4,1.0
426935,Genesis,4,8,hbo,4,6,1.5
426936,Genesis,4,8,hbo,2,2,1.0
426937,Genesis,4,8,hbo,2,5,2.5
426938,Genesis,4,8,hbo,4,6,1.5
426939,Genesis,4,8,hbo,2,2,1.0
426940,Genesis,4,9,hbo,4,5,1.25
426941,Genesis,4,9,hbo,2,3,1.5
426942,Genesis,4,9,hbo,2,2,1.0
426943,Genesis,4,9,hbo,2,2,1.0
426944,Genesis,4,9,hbo,4,4,1.0
426945,Genesis,4,10,hbo,2,2,1.0
426946,Genesis,4,10,hbo,2,2,1.0
426947,Genesis,4,10,hbo,4,8,2.0
426948,Genesis,4,11,hbo,2,2,1.0
426949,Genesis,4,11,hbo,3,5,1.6666666666666667
426950,Genesis,4,11,hbo,3,4,1.3333333333333333
426951,Genesis,4,11,hbo,3,7,2.3333333333333335
426952,Genesis,4,12,hbo,3,5,1.6666666666666667
426953,Genesis,4,12,hbo,2,2,1.0
426954,Genesis,4,12,hbo,3,3,1.0
426955,Genesis,4,12,hbo,3,7,2.3333333333333335
426956,Genesis,4,13,hbo,4,5,1.25
426957,Genesis,4,13,hbo,2,2,1.0
426958,Genesis,4,13,hbo,1,2,2.0
426959,Genesis,4,14,hbo,5,10,2.0
426960,Genesis,4,14,hbo,3,4,1.3333333333333333
426961,Genesis,4,14,hbo,4,8,2.0
426962,Genesis,4,14,hbo,2,2,1.0
426963,Genesis,4,14,hbo,2,2,1.0
426964,Genesis,4,14,hbo,1,1,1.0
426965,Genesis,4,15,hbo,4,4,1.0
426966,Genesis,4,15,hbo,1,1,1.0
426967,Genesis,4,15,hbo,3,5,1.6666666666666667
